fid,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,JOIN_KEY,GISJOIN,WHITE,BLACK,TOTPOP,POC
921,"17","031","826402","17031826402","8264.02",Census Tract 8264.02,G5020,S,2023806,0,"+41.6280651",-087.5900943,"17031826402",G17031826402,122,4285,4728,4606
922,"17","031","826600","17031826600","8266",Census Tract 8266,G5020,S,1512445,0,"+41.6363517",-087.6230152,"17031826600",G17031826600,120,4212,4595,4475
926,"17","031","730700","17031730700","7307",Census Tract 7307,G5020,S,988114,0,"+41.7030817",-087.6500793,"17031730700",G17031730700,9,2125,2281,2272
927,"17","031","740100","17031740100","7401",Census Tract 7401,G5020,S,891330,0,"+41.6972859",-087.6986083,"17031740100",G17031740100,2486,84,3234,748
928,"17","031","740200","17031740200","7402",Census Tract 7402,G5020,S,1962882,0,"+41.7047017",-087.7127057,"17031740200",G17031740200,4936,117,5830,894
929,"17","031","740300","17031740300","7403",Census Tract 7403,G5020,S,1320728,0,"+41.6950694",-087.7107233,"17031740300",G17031740300,4230,67,4869,639
930,"17","031","740400","17031740400","7404",Census Tract 7404,G5020,S,2838804,0,"+41.6872391",-087.7193158,"17031740400",G17031740400,3604,485,4695,1091
933,"17","031","381800","17031381800","3818",Census Tract 3818,G5020,S,319368,0,"+41.8038481",-087.6211978,"17031381800",G17031381800,34,1326,1462,1428
934,"17","031","381900","17031381900","3819",Census Tract 3819,G5020,S,172690,0,"+41.8039557",-087.6138885,"17031381900",G17031381900,28,996,1106,1078
935,"17","031","390100","17031390100","3901",Census Tract 3901,G5020,S,482752,360058,"+41.8135545",-087.5905449,"17031390100",G17031390100,87,1278,1553,1466
936,"17","031","390200","17031390200","3902",Census Tract 3902,G5020,S,303791,0,"+41.8130410",-087.5994765,"17031390200",G17031390200,225,1453,1883,1658
937,"17","031","390300","17031390300","3903",Census Tract 3903,G5020,S,327051,0,"+41.8132006",-087.6042089,"17031390300",G17031390300,101,2371,2617,2516
938,"17","031","390400","17031390400","3904",Census Tract 3904,G5020,S,326306,0,"+41.8059243",-087.6040582,"17031390400",G17031390400,260,2373,2871,2611
939,"17","031","390500","17031390500","3905",Census Tract 3905,G5020,S,326519,0,"+41.8059781",-087.5991987,"17031390500",G17031390500,431,953,1666,1235
940,"17","031","390600","17031390600","3906",Census Tract 3906,G5020,S,324629,0,"+41.8060181",-087.5943504,"17031390600",G17031390600,780,901,1994,1214
941,"17","031","390700","17031390700","3907",Census Tract 3907,G5020,S,608424,820061,"+41.8040164",-087.5804887,"17031390700",G17031390700,1237,3636,6532,5295
948,"17","031","440600","17031440600","4406",Census Tract 4406,G5020,S,666619,0,"+41.7326718",-087.6191373,"17031440600",G17031440600,6,1889,1996,1990
949,"17","031","440900","17031440900","4409",Census Tract 4409,G5020,S,742630,0,"+41.7286690",-087.6090057,"17031440900",G17031440900,5,2352,2462,2457
950,"17","031","440700","17031440700","4407",Census Tract 4407,G5020,S,327461,0,"+41.7347514",-087.6096294,"17031440700",G17031440700,14,1427,1497,1483
