fid,NHGISST,NHGISCTY,GISJOIN,GISJOIN2,SHAPE_AREA,SHAPE_LEN,JOIN_KEY,GEOID,STATEFP,COUNTYFP,WHITE,BLACK,TOTPOP,POC
916,"170","0310",G17003103803,"17003103803",328638.431129,2425.62924506,G17003103803,"17003103803","17","031",4,2116,2133,2129
919,"170","0310",G17003103907,"17003103907",689083.304851,3585.59008686,G17003103907,"17003103907","17","031",2209,3178,5847,3638
920,"170","0310",G17003104101,"17003104101",252147.693343,2578.9513018,G17003104101,"17003104101","17","031",738,875,1784,1046
921,"170","0310",G17003104109,"17003104109",416132.780567,2929.75023373,G17003104109,"17003104109","17","031",2131,1401,3946,1815
922,"170","0310",G17003103603,"17003103603",367807.86082,2592.21150122,G17003103603,"17003103603","17","031",0,1823,1834,1834
939,"170","0310",G17003106608,"17003106608",639763.346333,4022.66859325,G17003106608,"17003106608","17","031",2589,1196,5711,3122
940,"170","0310",G17003104302,"17003104302",680852.15137,3277.60203823,G17003104302,"17003104302","17","031",166,5334,5563,5397
941,"170","0310",G17003106717,"17003106717",328224.454852,2411.0874038,G17003106717,"17003106717","17","031",6,2572,2590,2584
942,"170","0310",G17003104303,"17003104303",407518.289627,2681.58316408,G17003104303,"17003104303","17","031",10,2658,2685,2675
980,"170","0310",G17003103704,"17003103704",455133.401318,2773.85377801,G17003103704,"17003103704","17","031",1,958,965,964
981,"170","0310",G17003104003,"17003104003",1478748.18323,6110.04076827,G17003104003,"17003104003","17","031",3,1852,1868,1865
982,"170","0310",G17003106122,"17003106122",672774.457337,3266.70845922,G17003106122,"17003106122","17","031",18,1765,1818,1800
985,"170","0310",G17003106007,"17003106007",426665.913657,2750.8782447,G17003106007,"17003106007","17","031",1339,4,2068,729
992,"170","0310",G17003108265,"17003108265",3533738.48794,9606.29027511,G17003108265,"17003108265","17","031",4424,1409,6172,1748
1003,"170","0310",G17003106004,"17003106004",324916.102964,2417.07013939,G17003106004,"17003106004","17","031",1932,4,3811,1879
1006,"170","0310",G17003106810,"17003106810",642169.026461,3229.07841059,G17003106810,"17003106810","17","031",12,5256,5294,5282
1008,"170","0310",G17003103905,"17003103905",332220.005246,2454.86130417,G17003103905,"17003103905","17","031",274,1555,1903,1629
1009,"170","0310",G17003103820,"17003103820",328684.831536,2448.50107591,G17003103820,"17003103820","17","031",7,2692,2711,2704
1010,"170","0310",G17003106112,"17003106112",326288.580219,2452.29360338,G17003106112,"17003106112","17","031",566,703,3300,2734
1011,"170","0310",G17003103906,"17003103906",332063.15319,2425.02710409,G17003103906,"17003103906","17","031",944,1204,2291,1347
1012,"170","0310",G17003103819,"17003103819",174310.930417,1681.76248066,G17003103819,"17003103819","17","031",2,1386,1403,1401
1026,"170","0310",G17003106302,"17003106302",642244.778677,3997.79770414,G17003106302,"17003106302","17","031",847,1,1493,646
1039,"170","0310",G17003104002,"17003104002",193914.838661,2109.89778426,G17003104002,"17003104002","17","031",8,3986,4009,4001
1040,"170","0310",G17003104001,"17003104001",654922.139241,4083.07267893,G17003104001,"17003104001","17","031",6,2176,2196,2190
1042,"170","0310",G17003105202,"17003105202",1220320.38033,6019.0224966,G17003105202,"17003105202","17","031",1310,4,3646,2336
1043,"170","0310",G17003105101,"17003105101",2324166.26457,7036.93925355,G17003105101,"17003105101","17","031",1273,51,3478,2205
1048,"170","0310",G1700310825802,"1700310825802",1473840.28345,5245.94491218,G1700310825802,"1700310825802","17","031",3226,1812,5723,2497
1051,"170","0310",G17003103816,"17003103816",99168.6275299,1340.49886915,G17003103816,"17003103816","17","031",0,675,676,676
1052,"170","0310",G17003103810,"17003103810",241444.286044,2015.69068811,G17003103810,"17003103810","17","031",2,1868,1880,1878
